TimeStamp,Ore,WaterMill,WaterZumpf,Power,ZumpfLevel,PressureHC,DensityHC,FE,PulpHC,PumpRPM,MotorAmp,PSI200,Class_15,Class_12,Grano,Daiki,Shisti
2025-07-07 12:55:00,160.151579954022,12.1723511022311,197.3858451770452,1704.6302216699307,1499.4085864905908,0.291699472436452,1790.2356268283606,3.4786,455.5250234803361,710.0618254985754,180.47875136064687,23.758888888888887,1.0,7.2,0.634,0.296,0.07
2025-07-07 13:00:00,160.0206064780862,12.281809919196109,197.02686503052504,1707.935845998287,1499.7611009635252,0.2916131008662894,1790.8568909068194,3.4792666666666667,453.8093160431719,710.2122683557184,180.60818202617344,24.22133333333333,1.0,7.2,0.634,0.296,0.07
2025-07-07 13:05:00,160.0682421683219,12.332070385802876,197.02778860662207,1711.8762253281648,1503.7253697177075,0.2909456115077379,1791.4215733147907,3.492,454.5630771939505,710.855162087912,180.84718102576005,24.431939393939395,1.0,7.2,0.634,0.296,0.07
2025-07-07 13:10:00,160.07050404984844,12.309684896952104,197.33651114630464,1714.0297808837202,1504.123810296677,0.2896208930978943,1792.734618805273,3.498933333333333,456.283134447244,711.5745580086581,180.8002025705929,24.44735606060606,1.0,7.2,0.634,0.296,0.07
2025-07-07 13:15:00,160.171162502681,12.22118786746946,197.65370294117648,1708.7949963635087,1505.8250965130387,0.2891132436629671,1794.1908850928949,3.493933333333333,458.0741024951806,712.8653466533467,180.43903609905263,24.10217657342657,1.0,7.2,0.634,0.296,0.07
2025-07-07 13:20:00,160.0411404905552,12.128281719158428,197.06630085470084,1704.704752624816,1501.6632363492442,0.2877084425187111,1796.2357042466876,3.483,457.634188481575,713.2654486735487,179.99804535476542,24.224903846153843,1.0,7.2,0.634,0.296,0.07
2025-07-07 13:25:00,160.1586810972252,12.09106027862368,195.50485407925407,1699.4422155062132,1502.2025810584882,0.286782354627043,1799.1286080410623,3.472266666666667,458.7667681577653,713.1719668553669,179.87425683858467,24.542820512820512,1.0,7.2,0.634,0.296,0.07
2025-07-07 13:30:00,160.0524068868169,12.09446622523439,194.28897074592075,1699.626749056016,1498.3484622802223,0.2858179624939523,1801.2233346631983,3.487533333333333,460.60452291328767,712.1793353535354,180.0113809870887,24.70408163265306,1.0,7.2,0.634,0.296,0.07
2025-07-07 13:35:00,160.1992094794095,12.11362105844732,192.99244766899767,1696.3457111218013,1499.4393147072003,0.2863899517656448,1802.8627923608735,3.506866666666667,462.4076207262327,711.6553442203548,179.8237013124652,24.688395358143257,1.0,7.2,0.634,0.296,0.07
2025-07-07 13:40:00,160.09746522404495,12.177671535049326,192.63399545454544,1693.5707137101122,1498.6300206569713,0.2871497172404337,1802.0674257583407,3.509333333333333,461.3497640728962,711.2390832679738,179.91212618278757,24.955062024809923,1.0,7.2,0.634,0.296,0.07
