date,shift,класа +15мм,гранодиорити,дайки,шисти,класа +12.5мм
2025-06-27,1,0.6,0.64,0.288,0.072,7.5
2025-06-27,2,,,,,
2025-06-27,3,,,,,
2025-06-28,1,,,,,
2025-06-28,2,,,,,
2025-06-28,3,,,,,
2025-06-29,1,,,,,
2025-06-29,2,,,,,
2025-06-29,3,,,,,
2025-06-30,1,,,,,
2025-06-30,2,,,,,
2025-06-30,3,,,,,
2025-06-31,1,,,,,
2025-06-31,2,,,,,
2025-06-31,3,,,,,
