trial_number,value,state,datetime_start,datetime_complete,duration,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki
44,53.769317626953125,1,2025-07-14 09:51:22.370260,2025-07-14 09:51:22.400973,0.030713,160.26770021372062,8.039049366513515,240.1870448634692,0.3314731919496436,1637.1412222265492,217.96627820805796,0.15087525751377262,0.12072460455782806
45,53.066280364990234,1,2025-07-14 09:51:22.400973,2025-07-14 09:51:22.430256,0.029283,169.82535152697218,6.015812609474201,248.62341796834653,0.34456639513337395,1695.1411278191704,206.91628668981312,0.21499172585757356,0.15200346436741718
46,53.151649475097656,1,2025-07-14 09:51:22.430256,2025-07-14 09:51:22.459867,0.029611,167.4284693137197,7.543980793945718,223.1482411886136,0.3569850502555549,1710.1138448625966,215.12326074684552,0.1968096180553827,0.1345399059972733
47,54.553401947021484,1,2025-07-14 09:51:22.459867,2025-07-14 09:51:22.489111,0.029244,172.70457814147318,16.382163954627806,218.61734075259918,0.31409995256598344,1658.3750416432795,203.81914522726711,0.13062283558298382,0.26253114736478805
48,54.69270706176758,1,2025-07-14 09:51:22.490115,2025-07-14 09:51:22.519332,0.029217,175.41978856170334,17.09006599465615,226.8648643788216,0.31585362421248614,1667.4563284254918,203.818485748792,0.1300784112813157,0.2538517233946912
49,54.24483871459961,1,2025-07-14 09:51:22.520336,2025-07-14 09:51:22.550593,0.030257,175.17174504007667,18.368014481401705,232.30022154419305,0.3272521812622329,1667.7367957049096,192.96166262900994,0.11499466244199408,0.2502983203770336
50,50.44009017944336,1,2025-07-14 09:51:22.551096,2025-07-14 09:51:22.580926,0.02983,183.32654974556712,17.024319704612,228.32509450283473,0.3117963808340215,1733.9190622567207,200.2856865969638,0.0946976067473777,0.311409938026189
51,54.497764587402344,1,2025-07-14 09:51:22.580926,2025-07-14 09:51:22.610084,0.029158,172.26873510307044,15.711808291860244,224.98308174565597,0.3133971073360689,1650.638065691203,205.42140653629002,0.13379093859911947,0.2659368267465693
52,53.65779113769531,1,2025-07-14 09:51:22.610084,2025-07-14 09:51:22.639746,0.029662,179.5715723677748,17.47065761829525,209.1626624775036,0.32021284201479455,1664.1864781032023,203.12956942451623,0.11272588329095959,0.23551350466315019
53,50.950740814208984,1,2025-07-14 09:51:22.640258,2025-07-14 09:51:22.669423,0.029165,173.08361245234798,18.47284523498319,169.2227982896909,0.33200757335318365,1777.1426949500267,207.70769791068275,0.15050597855759357,0.2826908337894151
54,54.72770690917969,1,2025-07-14 09:51:22.669423,2025-07-14 09:51:22.701116,0.031693,176.19988093069506,16.623619000935722,217.98789620095945,0.3096788585280547,1631.8975381980945,197.92265745712436,0.12850027321366314,0.25259457283190506
